"","V1","V2","V3","V4","V5"
"1",0.0212765957446809,0.157446808510638,0.0574468085106383,0.709042553191489,0.0547872340425532
"2",0.197530864197531,0.148148148148148,0.172839506172839,0.271604938271605,0.209876543209877
"3",0.0403299725022915,0.187901008249313,0.527956003666361,0.135655362053162,0.108157653528873
"4",0.0917078528281164,0.437122460186711,0.155958264689731,0.105985722130697,0.209225700164745
"5",0.0321007720438846,0.237301909792767,0.0910199106054449,0.1007720438846,0.538805363673304
"6",0.0466744457409568,0.144690781796966,0.673278879813302,0.05950991831972,0.0758459743290548
"7",0.353992848629321,0.148986889153754,0.113230035756853,0.226460071513707,0.157330154946365
"8",0.0691823899371069,0.608805031446541,0.128301886792453,0.10062893081761,0.0930817610062893
"9",0.101904761904762,0.104285714285714,0.279047619047619,0.107619047619048,0.407142857142857
"10",0.0212003583159152,0.0821140638996715,0.0931621379516274,0.0465810689758137,0.756942370856972
"11",0.154867256637168,0.223451327433628,0.0929203539823009,0.462389380530973,0.0663716814159292
"12",0.154609929078014,0.2,0.259574468085106,0.222695035460993,0.163120567375887
"13",0.082512315270936,0.157635467980296,0.576354679802956,0.0763546798029557,0.107142857142857
"14",0.395959595959596,0.170707070707071,0.203030303030303,0.148484848484848,0.0818181818181818
"15",0.0344086021505376,0.619354838709677,0.147311827956989,0.141935483870968,0.056989247311828
"16",0.0373079736649598,0.618873445501097,0.158010241404535,0.134601316752012,0.0512070226773958
"17",0.0604467805519054,0.182654402102497,0.515111695137976,0.151116951379763,0.0906701708278581
"18",0.404094827586207,0.155172413793103,0.206896551724138,0.0991379310344828,0.134698275862069
"19",0.475268817204301,0.11505376344086,0.139784946236559,0.0903225806451613,0.179569892473118
"20",0.0656303972366149,0.163212435233161,0.0941278065630397,0.57167530224525,0.105354058721934
"21",0.104294478527607,0.542331288343558,0.12638036809816,0.12760736196319,0.0993865030674847
"22",0.516624040920716,0.0843989769820972,0.0562659846547315,0.0984654731457801,0.244245524296675
"23",0.208791208791209,0.186813186813187,0.131868131868132,0.175824175824176,0.296703296703297
"24",0.569476082004556,0.071753986332574,0.0671981776765376,0.0854214123006834,0.206150341685649
"25",0.045045045045045,0.137387387387387,0.64527027027027,0.100225225225225,0.0720720720720721
"26",0.0434285714285714,0.609142857142857,0.0891428571428571,0.182857142857143,0.0754285714285714
"27",0.0285035629453682,0.113420427553444,0.0961995249406176,0.682304038004751,0.0795724465558195
"28",0.445669291338583,0.251181102362205,0.0708661417322835,0.182677165354331,0.0496062992125984
"29",0.0946372239747634,0.460567823343849,0.0993690851735016,0.0804416403785489,0.264984227129338
"30",0.0496141124586549,0.192943770672547,0.224917309812569,0.437706725468578,0.0948180815876516
